%% mel_spectrogram data of audio using
%% librosa.feature.melspectrogram(y=y, n_mels=10, fmin=800,fmax=1000)
%% i.e. 10 mell bands, min freq 800 Hz, max freq 1000 - the Classic more-pork call freq range
%% 1.5 seconds of data

@relation morepork_vs_unknown
@attribute filename string
@attribute class {MOREPORK, UNKNOWN}

@data
/morepork/281912_2.4.jpg,MOREPORK
/morepork/245591_51.8.jpg,MOREPORK
/morepork/193319_37.5.jpg,MOREPORK
/morepork/195470_5.7.jpg,MOREPORK
/morepork/299254_7.2.jpg,MOREPORK
/morepork/211221_15.4.jpg,MOREPORK
/morepork/186680_20.4.jpg,MOREPORK
/morepork/166675_19.9.jpg,MOREPORK
/morepork/257155_12.1.jpg,MOREPORK
/morepork/197528_26.3.jpg,MOREPORK
/morepork/164608_2.6.jpg,MOREPORK
/morepork/166430_20.9.jpg,MOREPORK
/morepork/209344_28.5.jpg,MOREPORK
/morepork/202338_20.0.jpg,MOREPORK
/morepork/257743_38.6.jpg,MOREPORK
/morepork/203961_51.8.jpg,MOREPORK
/morepork/168097_25.9.jpg,MOREPORK
/morepork/214908_53.1.jpg,MOREPORK
/morepork/164330_51.2.jpg,MOREPORK
/morepork/163964_3.1.jpg,MOREPORK
/morepork/175523_23.1.jpg,MOREPORK
/morepork/193554_8.6.jpg,MOREPORK
/morepork/164330_34.4.jpg,MOREPORK
/morepork/200864_0.6.jpg,MOREPORK
/morepork/218113_23.1.jpg,MOREPORK
/morepork/200864_39.5.jpg,MOREPORK
/morepork/257159_7.8.jpg,MOREPORK
/morepork/246609_3.7.jpg,MOREPORK
/morepork/259115_7.4.jpg,MOREPORK
/morepork/251219_24.8.jpg,MOREPORK
/morepork/291694_26.6.jpg,MOREPORK
/morepork/197528_35.6.jpg,MOREPORK
/morepork/186680_39.7.jpg,MOREPORK
/morepork/198919_18.2.jpg,MOREPORK
/morepork/267198_49.4.jpg,MOREPORK
/morepork/226548_22.1.jpg,MOREPORK
/morepork/166198_18.6.jpg,MOREPORK
/morepork/227378_14.3.jpg,MOREPORK
/morepork/244613_36.8.jpg,MOREPORK
/morepork/205434_60.0.jpg,MOREPORK
/morepork/187309_35.2.jpg,MOREPORK
/morepork/218113_8.6.jpg,MOREPORK
/morepork/197523_59.1.jpg,MOREPORK
/morepork/209344_33.3.jpg,MOREPORK
/morepork/271447_35.0.jpg,MOREPORK
/morepork/216051_50.5.jpg,MOREPORK
/morepork/193593_16.0.jpg,MOREPORK
/morepork/246078_43.5.jpg,MOREPORK
/morepork/319256_51.6.jpg,MOREPORK
/morepork/282153_2.0.jpg,MOREPORK
/morepork/279042_19.4.jpg,MOREPORK
/morepork/226440_39.0.jpg,MOREPORK
/morepork/206580_44.9.jpg,MOREPORK
/morepork/196137_47.5.jpg,MOREPORK
/morepork/247524_43.1.jpg,MOREPORK
/morepork/264617_47.9.jpg,MOREPORK
/morepork/259446_13.1.jpg,MOREPORK
/morepork/234203_38.7.jpg,MOREPORK
/morepork/251299_49.9.jpg,MOREPORK
/morepork/165918_56.3.jpg,MOREPORK
/morepork/209344_36.3.jpg,MOREPORK
/morepork/195470_36.2.jpg,MOREPORK
/morepork/209344_14.4.jpg,MOREPORK
/morepork/166356_28.3.jpg,MOREPORK
/morepork/249578_11.9.jpg,MOREPORK
/morepork/234199_3.7.jpg,MOREPORK
/morepork/218644_33.9.jpg,MOREPORK
/morepork/195467_57.8.jpg,MOREPORK
/morepork/168097_28.9.jpg,MOREPORK
/morepork/201336_12.7.jpg,MOREPORK
/morepork/218644_28.2.jpg,MOREPORK
/morepork/167214_48.6.jpg,MOREPORK
/morepork/201334_35.2.jpg,MOREPORK
/morepork/206167_19.7.jpg,MOREPORK
/morepork/279158_3.4.jpg,MOREPORK
/morepork/175809_57.6.jpg,MOREPORK
/morepork/164330_12.9.jpg,MOREPORK
/morepork/259891_55.8.jpg,MOREPORK
/morepork/178731_2.2.jpg,MOREPORK
/morepork/245054_8.0.jpg,MOREPORK
/morepork/180546_41.0.jpg,MOREPORK
/morepork/264617_4.9.jpg,MOREPORK
/morepork/168425_55.1.jpg,MOREPORK
/morepork/216051_13.7.jpg,MOREPORK
/morepork/197761_3.3.jpg,MOREPORK
/morepork/186508_27.1.jpg,MOREPORK
/morepork/197295_22.6.jpg,MOREPORK
/morepork/175971_42.8.jpg,MOREPORK
/morepork/163964_24.2.jpg,MOREPORK
/morepork/203260_0.5.jpg,MOREPORK
/morepork/198919_32.2.jpg,MOREPORK
/morepork/246609_49.3.jpg,MOREPORK
/morepork/164136_42.2.jpg,MOREPORK
/morepork/267201_7.9.jpg,MOREPORK
/morepork/171696_22.8.jpg,MOREPORK
/morepork/210265_10.3.jpg,MOREPORK
/morepork/210147_49.2.jpg,MOREPORK
/morepork/167214_20.5.jpg,MOREPORK
/morepork/267201_53.9.jpg,MOREPORK
/morepork/209703_10.5.jpg,MOREPORK
/morepork/183980_22.0.jpg,MOREPORK
/morepork/219181_57.8.jpg,MOREPORK
/morepork/168003_6.4.jpg,MOREPORK
/morepork/195102_31.2.jpg,MOREPORK
/morepork/168003_38.6.jpg,MOREPORK
/morepork/200982_11.0.jpg,MOREPORK
/morepork/208384_51.4.jpg,MOREPORK
/morepork/226042_52.7.jpg,MOREPORK
/morepork/223064_4.0.jpg,MOREPORK
/morepork/200981_40.1.jpg,MOREPORK
/morepork/193319_33.3.jpg,MOREPORK
/morepork/176346_23.3.jpg,MOREPORK
/morepork/175656_3.0.jpg,MOREPORK
/morepork/165856_17.7.jpg,MOREPORK
/morepork/246609_42.8.jpg,MOREPORK
/morepork/211126_19.6.jpg,MOREPORK
/morepork/211126_36.0.jpg,MOREPORK
/morepork/279577_14.5.jpg,MOREPORK
/morepork/244613_10.2.jpg,MOREPORK
/morepork/264819_26.0.jpg,MOREPORK
/morepork/203954_31.1.jpg,MOREPORK
/morepork/219181_53.1.jpg,MOREPORK
/morepork/186508_29.6.jpg,MOREPORK
/morepork/244613_56.0.jpg,MOREPORK
/morepork/276841_46.2.jpg,MOREPORK
/morepork/197529_39.9.jpg,MOREPORK
/morepork/279158_15.2.jpg,MOREPORK
/morepork/232668_29.2.jpg,MOREPORK
/morepork/164870_48.2.jpg,MOREPORK
/morepork/276841_51.5.jpg,MOREPORK
/morepork/202333_19.4.jpg,MOREPORK
/morepork/196137_34.9.jpg,MOREPORK
/morepork/163409_51.3.jpg,MOREPORK
/morepork/195468_36.5.jpg,MOREPORK
/morepork/259891_37.8.jpg,MOREPORK
/morepork/208383_27.0.jpg,MOREPORK
/morepork/257743_33.3.jpg,MOREPORK
/morepork/201448_54.9.jpg,MOREPORK
/morepork/200448_6.1.jpg,MOREPORK
/morepork/245591_25.1.jpg,MOREPORK
/morepork/201448_29.1.jpg,MOREPORK
/morepork/164870_0.3.jpg,MOREPORK
/morepork/247042_34.2.jpg,MOREPORK
/morepork/264819_42.4.jpg,MOREPORK
/morepork/177820_36.0.jpg,MOREPORK
