recording id,timestamp,start_secs,what,Night Recording,Seconds after dusk,Seconds before dawn
208383,2018-12-09T12:01:02.000Z,39.1,more pork - classic,True,,-15597
257159,2019-03-01T16:54:00.000Z,37.3,more pork - classic,True,,-2399
204964,2018-12-04T08:26:00.000Z,11.1,more pork - classic,True,1800,
204466,2018-12-03T13:55:03.000Z,37.4,more pork - classic,True,,-8756
219633,2018-12-30T16:10:00.000Z,39.7,more pork - classic,True,,-1199
208383,2018-12-09T12:01:02.000Z,21.9,more pork - classic,True,,-15597
195468,2018-11-12T14:33:06.000Z,36.1,more pork - classic,True,,-7133
168424,2018-08-28T06:53:00.000Z,13.9,more pork - classic,True,1800,
167214,2018-08-16T16:12:06.000Z,20.5,more pork - classic,True,,-8453
209703,2018-12-12T11:03:01.000Z,50.3,more pork - classic,True,,-19078
211227,2018-12-16T16:02:01.000Z,52.7,more pork - classic,True,,-1198
259891,2019-03-07T07:40:00.000Z,51.5,more pork - classic,True,1200,
205434,2018-12-05T16:11:00.000Z,15.9,more pork - classic,True,,-599
276841,2019-04-09T08:30:02.000Z,20.4,more pork - classic,True,7202,
199356,2018-11-23T15:44:00.000Z,19.7,more pork - classic,True,,-2399
276841,2019-04-09T08:30:02.000Z,7.3,more pork - classic,True,7202,
169079,2018-09-01T17:51:00.000Z,27.3,more pork - classic,True,,-1199
173014,2018-09-13T17:13:00.000Z,39.7,more pork - classic,True,,-2399
228030,2019-01-16T14:11:03.000Z,2.1,more pork - classic,True,,-9296
165918,2018-08-02T18:19:00.000Z,37.9,more pork - classic,True,,-1799
267198,2019-03-21T07:59:00.000Z,18.9,more pork - classic,True,3600,
222428,2019-01-05T08:23:00.000Z,57.6,more pork - classic,True,600,
247524,2019-02-14T16:48:00.000Z,47.4,more pork - classic,True,,-1799
195102,2018-11-11T14:32:04.000Z,21.8,more pork - classic,True,,-7255
264617,2019-03-16T15:07:05.000Z,57.3,more pork - classic,True,,-9714
195468,2018-11-12T14:33:06.000Z,55.8,more pork - classic,True,,-7133
247419,2019-02-14T08:28:00.000Z,21.0,more pork - classic,True,2400,
247042,2019-02-13T16:47:00.000Z,15.6,more pork - classic,True,,-1799
201954,2018-11-28T16:12:00.000Z,46.8,more pork - classic,True,,-599
219633,2018-12-30T16:10:00.000Z,34.7,more pork - classic,True,,-1199
264819,2019-03-17T07:15:00.000Z,42.4,more pork - classic,True,600,
234198,2019-01-28T08:25:00.000Z,16.8,more pork - classic,True,1200,
165856,2018-08-02T06:41:00.000Z,54.3,more pork - classic,True,2400,
184379,2018-10-13T14:02:01.000Z,37.7,more pork - classic,True,,-11098
166430,2018-08-07T17:54:00.000Z,59.4,more pork - classic,True,,-2999
210147,2018-12-13T12:04:03.000Z,18.5,more pork - classic,True,,-15416
219181,2018-12-29T09:02:00.000Z,23.3,more pork - classic,True,3000,
243569,2019-02-06T14:57:03.000Z,41.9,more pork - classic,True,,-7976
291694,2019-04-27T18:17:01.000Z,52.4,more pork - classic,True,,-598
177820,2018-09-29T16:48:00.000Z,36.0,more pork - classic,True,,-2399
166766,2018-08-11T06:38:00.000Z,45.9,more pork - classic,True,1800,
168424,2018-08-28T06:53:00.000Z,40.0,more pork - classic,True,1800,
198919,2018-11-22T16:05:00.000Z,25.9,more pork - classic,True,,-1199
204472,2018-12-03T16:01:00.000Z,0.6,more pork - classic,True,,-1199
251299,2019-02-20T16:45:00.000Z,57.1,more pork - classic,True,,-2399
242974,2019-02-05T12:58:03.000Z,39.5,more pork - classic,True,,-14996
282153,2019-04-20T17:15:05.000Z,22.9,more pork - classic,True,,-3954
211126,2018-12-16T10:06:01.000Z,38.1,more pork - classic,True,7201,
198919,2018-11-22T16:05:00.000Z,54.7,more pork - classic,True,,-1199
165918,2018-08-02T18:19:00.000Z,9.6,more pork - classic,True,,-1799
206580,2018-12-07T10:59:01.000Z,13.6,more pork - classic,True,10801,
204472,2018-12-03T16:01:00.000Z,18.3,more pork - classic,True,,-1199
186926,2018-10-21T16:06:00.000Z,12.8,more pork - classic,True,,-2999
281912,2019-04-20T06:25:00.000Z,57.9,more pork - classic,True,600,
251219,2019-02-20T08:31:00.000Z,55.6,more pork - classic,True,3000,
221380,2019-01-03T16:03:00.000Z,31.2,more pork - classic,True,,-1799
167404,2018-08-18T18:11:00.000Z,2.9,more pork - classic,True,,-1199
195203,2018-11-11T16:03:00.000Z,0.8,more pork - classic,True,,-1799
163398,2018-07-07T08:42:00.000Z,34.6,more pork - classic,True,10800,
249476,2019-02-16T08:06:00.000Z,48.6,more pork - classic,True,1200,
223062,2019-01-06T09:03:00.000Z,26.9,more pork - classic,True,3000,
210862,2018-12-15T14:05:04.000Z,58.2,more pork - classic,True,,-8215
245047,2019-02-09T08:34:00.000Z,39.9,more pork - classic,True,2400,
